congress,latestAction_actionDate,latestAction_actionTime,latestAction_text,number,originChamber,originChamberCode,title,type,updateDate,updateDateIncludingText,url
118,2024-05-09,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S3667; text: CR S3660-3661)",683,Senate,S,"A resolution supporting the designation of the week of April 29 through May 3, 2024, as ""National Specialized Instructional Support Personnel Appreciation Week"".",SRES,2024-05-10,2024-05-10T13:26:17Z,https://api.congress.gov/v3/bill/118/sres/683?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4317,Senate,S,"A bill to appropriate funds for the Federal Communications Commission's ""rip and replace"" program and Affordable Connectivity Program, to improve the Affordable Connectivity Program, to require a spectrum auction, and for other purposes.",S,2024-05-10,2024-05-10T10:56:28Z,https://api.congress.gov/v3/bill/118/s/4317?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",4316,Senate,S,"A bill to authorize urbanized area formula grants for service improvement and safety and security enhancement, and for other purposes.",S,2024-05-10,2024-05-10T10:56:28Z,https://api.congress.gov/v3/bill/118/s/4316?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4315,Senate,S,A bill to require Amtrak to install baby changing tables in all ADA-accessible bathrooms on passenger rail cars.,S,2024-05-10,2024-05-10T10:56:28Z,https://api.congress.gov/v3/bill/118/s/4315?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4314,Senate,S,"A bill to establish the position of National Roadway Safety Advocate within the Department of Transportation, and for other purposes.",S,2024-05-10,2024-05-10T10:56:29Z,https://api.congress.gov/v3/bill/118/s/4314?format=json
118,2024-05-09,,Referred to the Committee on Foreign Relations. (text: CR S3659-3660),682,Senate,S,A resolution condemning the decision by the Biden Administration to halt the shipment of United States made ammunition and weapons to the State of Israel.,SRES,2024-05-10,2024-05-10T13:12:39Z,https://api.congress.gov/v3/bill/118/sres/682?format=json
118,2024-05-09,,Read twice and referred to the Committee on the Judiciary.,4313,Senate,S,"A bill to provide for the implementation of a system of licensing for purchasers of certain firearms and for a record of sale system for those firearms, and for other purposes.",S,2024-05-10,2024-05-10T10:56:31Z,https://api.congress.gov/v3/bill/118/s/4313?format=json
118,2024-05-09,,Placed on Senate Legislative Calendar under General Orders. Calendar No. 383.,2032,Senate,S,Legacy IT Reduction Act of 2023,S,2024-05-10,2024-05-10T10:56:40Z,https://api.congress.gov/v3/bill/118/s/2032?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4312,Senate,S,"A bill to establish a United States Senate Commission on Mental Health for the purpose of providing to Congress and the President independent, expert policy recommendations to improve access to and affordability of mental health care services.",S,2024-05-10,2024-05-10T10:56:31Z,https://api.congress.gov/v3/bill/118/s/4312?format=json
118,2024-05-09,,Read twice and referred to the Committee on Foreign Relations.,4311,Senate,S,"A bill to limit funds to the United Nations and other organizations that provide any status, rights, or privileges beyond observer status to the Palestine Liberation Organization, and for other purposes.",S,2024-05-10,2024-05-10T10:56:31Z,https://api.congress.gov/v3/bill/118/s/4311?format=json
118,2024-05-09,,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S3659)",681,Senate,S,"A resolution supporting the designation of May 10, 2024, as ""National Asian American, Native Hawaiian, and Pacific Islander Mental Health Day"".",SRES,2024-05-10,2024-05-10T13:12:10Z,https://api.congress.gov/v3/bill/118/sres/681?format=json
118,2024-05-09,,Read twice and referred to the Committee on Energy and Natural Resources. (text: CR S3656-3659),4310,Senate,S,"A bill to exchange non-Federal land held by the Chugach Alaska Corporation for certain Federal Land in the Chugach Region, and for other purposes.",S,2024-05-10,2024-05-10T13:11:17Z,https://api.congress.gov/v3/bill/118/s/4310?format=json
118,2024-05-09,,Placed on Senate Legislative Calendar under General Orders. Calendar No. 385.,3029,Senate,S,Honoring Civil Servants Killed in the Line of Duty Act,S,2024-05-10,2024-05-10T16:38:05Z,https://api.congress.gov/v3/bill/118/s/3029?format=json
